mol_id,smiles,absorption_energy,emission_energy
SIMZZ11,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(C)(C)C)cc2c51)c1ccc(C(F)(F)F)cc1Oc1cc(C(C)(C)C)cc([n+]13)-c1cc(C(F)(F)F)nn14,3.803680981595092,2.7740492170022373
SIMZZ12,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(C)(C)C)cc2c51)c1ccc(C(F)(F)F)cc1Oc1cccc([n+]13)-c1cc(C(F)(F)F)nn14,3.7920489296636086,2.767857142857143
SIMZZ13,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(C)(C)C)cc2c51)c1cc(C(F)(F)F)ccc1Oc1cc(C(C)(C)C)cc([n+]13)-c1cc(C(F)(F)F)nn14,3.8153846153846156,2.767857142857143
SIMZZ14,CN1C=CN2C1=[Ir]134(=C5N(C)C=CN5c5cc(C(C)(C)C)cc2c51)c1cc(C(F)(F)F)ccc1Oc1cccc([n+]13)-c1cc(C(F)(F)F)nn14,3.7920489296636086,2.7616926503340755
SIMZZ15,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(C)(C)C)cc2c51)c1cc(C(F)(F)F)ccc1Oc1cccc([n+]13)-c1cc(C(F)(F)F)nn14,3.5530085959885387,2.767857142857143
SIMZZ16,CC(C)(C)c1cc2c3c(c1)N1C=CN(c4ccccc4)C1=[Ir]314(=C3N(c5ccccc5)C=CN32)c2cc(C(F)(F)F)ccc2Oc2cccc([n+]21)-c1cc(C(F)(F)F)nn14,3.5632183908045976,2.767857142857143
CUYZZ03,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(F)(F)F)cc2c51)c1cc(C(F)(F)F)cc2c5cc(C(F)(F)F)ccc5n(c12)-c1cc(C(C)(C)C)cc([n+]13)-c1cc(C(F)(F)F)nn14,3.4065934065934065,2.6050420168067228
CUYRAS,COc1cc2[n+]3c(c1)-n1c4c(OC)cccc4c4cc(OC)cc(c41)[Ir]314(=C3N(C=CN3C(C)C)c3cc(C(C)(C)C)cc(c31)N1C=CN(C(C)C)C=41)n1nc(C(F)(F)F)cc1-2,3.4159779614325068,2.5726141078838176
CUYZZ07,COc1cc2c3c(c1)c1cccc(OC)c1n3-c1cc(N(C)C)cc3[n+]1[Ir]214(=C2N(C=CN2C(C)C)c2cc(C(F)(F)F)cc(c21)N1C=CN(C(C)C)C=41)n1nc(C(F)(F)F)cc1-3,3.463687150837989,2.6271186440677967
CUYZZ08,COc1cc2c3c(c1)c1cccc(OC)c1n3-c1cc(N(C)C)cc3[n+]1[Ir]214(=C2N(C=CN2C(C)C)c2cc(C(F)(F)F)cc(c21)N1C=CN(C(C)C)C=41)n1nc(C(F)(F)F)cc1-3,3.604651162790698,2.6956521739130435
CUYZZ09,COc1cc2[n+]3c(c1)-n1c4c(OC)cccc4c4cc(OC)cc(c41)[Ir]314(=C3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc(c31)N1C=CN(C(C)C)C=41)n1nc(C(F)(F)F)nc1-2,3.4540389972144845,2.440944881889764
IJUZZ02,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(F)(F)F)cc2c51)c1cccc2c1C(C)(c1ccccc1-2)c1cc(C(C)(C)C)cc([n+]13)-c1cc(C(F)(F)F)nn14,3.803680981595092,2.610526315789474
IJUZZ03,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(F)(F)F)cc2c51)c1cccc2c1C(C)(c1ccccc1-2)c1cc(C(C)(C)C)cc([n+]13)-c1nc(C(F)(F)F)nn14,3.8153846153846156,2.546201232032854
IJUZZ04,COc1cc2[n+]3c(c1)C1(C)c4ccccc4-c4cccc(c41)[Ir]314(=C3N(C=CN3C(C)C)c3cc(C(F)(F)F)cc(c31)N1C=CN(C(C)C)C=41)n1nc(C(F)(F)F)cc1-2,3.8212634822804312,2.6552462526766596
IJUZZ05,CC(C)N1C=CN2C1=[Ir]134(=C5N(C=CN5C(C)C)c5cc(C(F)(F)F)cc2c51)c1cccc2c1C(C)(c1ccccc1-2)c1cc(N2CCCC2)cc([n+]13)-c1cc(C(F)(F)F)nn14,3.8330757341576507,2.8246013667425967
OXAZZ07,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccccc1-c1cccc[n+]13,2.7927927927927927,2.678185745140389
OXAZZ12,CCCCN1C=CN2C1=[Ir]13(Br)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccsc1-c1cc(C)c2ccccc2[n+]13,2.6160337552742616,2.2222222222222223
OXAZZ13,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccsc1-c1cc(C)c2ccccc2[n+]13,2.6160337552742616,2.2752293577981653
OXAZZ14,CCCCN1C=CN2C1=[Ir]13(Br)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccsc1-c1c2ccccc2cc[n+]13,2.330827067669173,2.134251290877797
OXAZZ15,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccsc1-c1c2ccccc2cc[n+]13,2.330827067669173,2.183098591549296
OXAZZ16,CCCCN1C=CN2C1=[Ir]13(OC#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccsc1-c1c2ccccc2cc[n+]13,2.4554455445544554,2.1379310344827585
OXAZZ06,CCCCN1C=CN2C1=[Ir]13(Br)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccccc1-c1cccc[n+]13,2.7555555555555555,2.6215644820295982
OXAZZ07,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccccc1-c1cccc[n+]13,3.2891246684350133,2.7312775330396475
OXAZZ08,CCCCN1C=CN2C1=[Ir]13(OC#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccccc1-c1cccc[n+]13,2.678185745140389,2.610526315789474
OXAZZ17,CCCCN1C=CN2C1=[Ir]13(Br)(=C4N(CCCC)C=CN4c4cccc2c41)c1c(sc2ccccc12)-c1sc2ccccc2[n+]13,2.6495726495726495,2.042833607907743
OXAKOQ,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1c(sc2ccccc12)-c1sc2ccccc2[n+]13,2.8181818181818183,2.0981387478849407
OXAZZ19,CCCCN1C=CN2C1=[Ir]13(OC#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1c(sc2ccccc12)-c1sc2ccccc2[n+]13,2.6495726495726495,2.0361247947454846
OXAZZ10,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccsc1-c1cccc[n+]13,2.8904428904428903,2.3984526112185685
OXAZZ11,CCCCN1C=CN2C1=[Ir]13(OC#N)(=C4N(CCCC)C=CN4c4cccc2c41)c1ccsc1-c1cccc[n+]13,2.7252747252747254,2.3484848484848486
NENZZ01,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)=C1N(C)c2cccnc2N1c1cc(C)c(C)cc13,4,2.8770301624129933
NENBIV,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)=C1N(Cc2ccccc2)c2cccnc2N1c1cc(C)c(C)cc13,3.987138263665595,2.8770301624129933
NENZZ02,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)=C1N(C)c2cccnc2N1c1cc(C)c(C)c(C)c13,3.949044585987261,2.811791383219955
NENZZ04,CCCCN1C=CN2C1=[Ir]13(C#N)(=C4N(CCCC)C=CN4c4cccc2c41)=C1N(Cc2ccccc2)c2cccnc2N1c1cc(C)c(C)c(C)c13,3.657817109144543,2.8246013667425967
